SANTOS, TIME PAULISTA
FREEFIRE, JOGO BATTLEGROUND MOBILE
HEXALAB, STARTUP DE DESENVOLVIMENTO
DESIGNER, PROFISSAO 
DIARIO, ANOTAÇÕES DE ACONTECIMENTOS
GAGO, LINGUA PRESA
MATHEUS, GAGO
KAH, AMOR DO MATHEUS
SAO PAULO, TRI MUNDIAL BIXA
MAXIMOS, QUANTIDADE DE ALGUMA COISA
DEVELOPER, PROFISSAO
BACKEND, PROFISSAO
FRONTEND, PROFISSAO
COLEGIO, ESTRUTURA DE ENSINO
HERCULES, CABELUDO
ANHANGUERA, APELIDO DE BANDEIRANTE
AMAZONCRIPZ, TIME DE E-Sports FREE FIRE
COLMEIA, ABELHA
JOGADOR, PROFISSAO
MUNDIAL, COPA DO MUNDO
RUSSIA, TERCEIRA GUERRA MUNDIAL
UCRANIA, PAIS INVADIDO
COVID, DOENCA 
BONDINHO, TRANSPORTE CARIOCA
DATENA, APRESENTADOR DE TELEJORNALISMO
PERCIVAL, APRESENTADOR DE TELEJORNALISMO
BOLSOMINION, PRESIDENTE
LULA, LIVRE
REI DO KUDUAIRO, ANGOLANO FAMOSO
IBIS, PIOR TIME DO MUNDO
